country_iso,clean_policy_count,green_investment_narrow,green_investment_broad,green_share_narrow,green_share_broad,avg_gdp_pc,avg_rule_law,cluster,log_green_investment
LBN,1,0.0,0.0,0.0,0.0,7316.716825088962,-0.67049095,1,0.0
LCA,1,20.0,20.0,1.0,1.0,10176.958617169828,0.7673435458333332,1,3.044522437723423
LKA,8,8.32,8.32,1.0,1.0,3302.6521651577377,-0.1116393875,1,2.2321626286975
LSO,1,12.260000000000002,12.260000000000002,1.0,1.0,962.8072122995914,-0.19983523749999996,0,2.5847519847577165
MAR,28,1714.35,1714.35,1.0,1.0,2836.6016210937537,-0.3388437208333333,0,7.447372420410869
MDG,3,96.72,96.72,1.0,1.0,450.0230655769723,-0.6839908791666667,0,4.5821062463895395
MDV,4,0.0,0.0,0.0,0.0,9098.80193278737,-0.34277354583333336,1,0.0
MEX,65,11564.87,11564.87,0.8380783911032975,0.8380783911032975,9744.860487929647,-0.6259764458333333,1,9.355813798814083
MKD,1,87.07000000000001,87.07000000000001,1.0,1.0,4793.268779823142,-0.3308931333333333,1,4.478131952817368
MLI,1,288.5,288.5,0.6789193768532028,0.6789193768532028,825.2548535429546,-0.5958631833333333,0,5.66815529701305
MMR,3,293.0,293.0,0.4819078947368421,0.4819078947368421,895.5791403051876,-1.4964709041666666,0,5.683579767338681
MNE,2,99.75,99.75,1.0,1.0,6149.943813775462,0.033461904166666674,1,4.612642200826793
MNG,7,320.7,320.7,1.0,1.0,3133.0015477537945,-0.15474857499999997,0,5.7736194342449805
MOZ,8,1132.3,1261.9,0.8057354301572618,0.8221382500488631,505.73792453834363,-0.8232070583333333,0,7.032889009738903
MUS,2,23.17,23.17,1.0,1.0,8597.729441311632,0.8801426916666667,1,3.1851121947153915
MWI,2,94.6,94.6,1.0,1.0,494.9869714717482,-0.25029222916666666,0,4.560172820057356
MYS,16,1317.85,1317.85,0.6115738914541615,0.6115738914541615,8847.588159235122,0.2457992333333333,1,7.184515423733361
NAM,2,148.37,148.37,1.0,1.0,3990.974885779997,0.2632502291666666,1,5.006426449322201
NGA,31,246.0,246.0,1.0,1.0,2162.9008600823504,-1.0586803458333334,0,5.5093883366279774
NIC,1,25.0,25.0,1.0,1.0,1858.442470472061,-0.9645170916666667,0,3.258096538021482
NPL,13,215.41,1704.5100000000002,1.0,1.0,810.1401934369304,-0.5882418458333333,0,5.377174756625531
PAK,18,1890.41,5478.61,0.2237063053745321,0.4550865922228562,1342.401993968766,-0.9308914916666667,0,7.545077861656364
PER,14,2409.7,2955.0,1.0,1.0,5284.700753582906,-0.4938203333333333,1,7.787672440741933
PHL,29,7321.92,7321.92,0.6547764685682399,0.6547764685682399,2678.4630565445336,-0.5306427458333333,0,8.898764434516897
PLW,1,22.0,22.0,1.0,1.0,14170.529569388329,1.183819775,1,3.1354942159291497
PNG,3,1.2,1.2,1.0,1.0,2206.637557864331,-0.6407887833333333,0,0.7884573603642702
RUS,39,1916.7100000000005,1916.7100000000005,0.9145874190608432,0.9145874190608432,8680.609375,-0.922145225,1,7.55888704484584
RWA,5,409.3,409.3,1.0,1.0,653.3546779734916,-0.4196353708333333,0,6.016888599448141
SEN,9,894.53,894.53,0.5701056683619492,0.5701056683619492,1218.0751321906716,-0.16024722083333331,0,6.7974157217771465
SLB,2,233.37,233.37,1.0,1.0,1892.9575523737908,-0.1347254583333333,0,5.456901063163783
SLE,1,1.2,1.2,0.0026189436927106,0.0026189436927106,943.3811088095254,-0.8760675291666665,0,0.7884573603642702
SLV,4,336.1,336.1,0.2770587750391559,0.2770587750391559,3634.8378481627365,-0.7239292583333333,0,5.820379622240015
SOM,1,5.67,5.67,1.0,1.0,372.2538800965884,-2.3298702291666666,0,1.8976198599275322
