country_iso,country,clean_policy_count,total_policy_count,green_policy_share,total_investment_narrow,green_investment_narrow,green_share_narrow,total_investment_broad,green_investment_broad,green_share_broad
TGO,Togo,5,9,0.5555555555555556,258.34999999999997,258.34999999999997,1.0,258.34999999999997,258.34999999999997,1.0
THA,Thailand,28,37,0.7567567567567568,7987.06,3515.5699999999997,0.44015820589804,8108.220000000001,3636.7299999999996,0.4485238437042901
TUN,Tunisia,16,17,0.9411764705882353,345.08000000000004,345.08000000000004,1.0,345.08000000000004,345.08000000000004,1.0
TUR,Turkey,66,86,0.7674418604651163,5319.29,5319.29,1.0,8446.34,8446.34,1.0
TZA,"Tanzania, United Republic of",12,16,0.75,46.2,46.2,1.0,46.2,46.2,1.0
UGA,Uganda,10,12,0.8333333333333334,306.34000000000003,306.34000000000003,1.0,306.34000000000003,306.34000000000003,1.0
UKR,Ukraine,30,38,0.7894736842105263,3508.58,3508.58,1.0,3508.58,3508.58,1.0
UZB,Uzbekistan,16,18,0.8888888888888888,6927.91,4843.91,0.6991877781322217,6927.91,4843.91,0.6991877781322217
VCT,Saint Vincent and the Grenadines,1,1,1.0,82.0,82.0,1.0,82.0,82.0,1.0
VNM,Viet Nam,47,56,0.8392857142857143,19259.91,6261.250000000001,0.32509238101320315,19633.91,6635.25,0.33794847791397636
ZAF,South Africa,62,78,0.7948717948717948,10097.77,10097.77,1.0,10097.77,10097.77,1.0
ZMB,Zambia,8,14,0.5714285714285714,544.2,544.2,1.0,544.2,544.2,1.0
ZWE,Zimbabwe,7,10,0.7,360.2,360.2,1.0,360.2,360.2,1.0
