Country,Financial closure year,total_projects,total_investment,resilient_projects,resilient_investment,resilient_share_count,resilient_share_value
China,2014,74,8135.63,63.0,3073.46,0.8513513513513513,0.3777777504630864
China,2015,84,7428.83,77.0,4507.68,0.9166666666666666,0.6067819562434462
China,2016,105,10743.891,99.0,6845.941,0.9428571428571428,0.6371938248442767
China,2017,110,19604.93,98.0,7017.49,0.8909090909090909,0.3579451699138941
China,2018,116,30661.12,60.0,6763.6,0.5172413793103449,0.22059207230525174
China,2019,143,29584.08,79.0,6118.23,0.5524475524475524,0.20680818872853235
China,2020,69,6423.05,54.0,3613.73,0.782608695652174,0.5626190049898413
China,2021,56,10401.27,35.0,3873.15,0.625,0.3723727967834697
China,2022,47,30305.94,18.0,1750.6,0.3829787234042553,0.0577642534763812
China,2023,25,9070.58,20.0,6791.63,0.8,0.7487536629410688
China,2024,49,19360.88,44.0,16116.23,0.8979591836734694,0.8324120597824065
Colombia,2000,18,1164.2,4.0,42.0,0.2222222222222222,0.036076275554028515
Colombia,2001,5,153.5,3.0,0.0,0.6,0.0
Colombia,2002,13,161.5,12.0,150.7,0.9230769230769231,0.93312693498452
Colombia,2003,5,165.70000000000002,4.0,55.3,0.8,0.3337356668678334
Colombia,2004,3,77.0,2.0,51.0,0.6666666666666666,0.6623376623376623
Colombia,2005,4,257.28,3.0,15.280000000000001,0.75,0.059390547263681606
Colombia,2006,7,1660.8600000000001,1.0,305.0,0.14285714285714285,0.18363980106691713
Colombia,2007,9,3970.7,7.0,3873.7,0.7777777777777778,0.9755710579998489
Colombia,2008,2,303.7,0.0,0.0,0.0,0.0
Colombia,2010,7,2615.616,1.0,98.716,0.14285714285714285,0.03774101397146982
Colombia,2011,1,684.0,1.0,684.0,1.0,1.0
Colombia,2012,2,835.4,0.0,0.0,0.0,0.0
Colombia,2013,4,979.6999999999999,1.0,129.0,0.25,0.13167296111054405
Colombia,2014,9,4539.5,3.0,384.6,0.3333333333333333,0.0847229871131182
Colombia,2015,8,4554.9,1.0,59.0,0.125,0.012953083492502581
Colombia,2016,11,5506.24,1.0,65.0,0.09090909090909091,0.011804788748765038
Colombia,2017,1,368.5,0.0,0.0,0.0,0.0
Colombia,2018,6,2140.74,2.0,78.0,0.3333333333333333,0.03643599876678159
Colombia,2019,6,3088.5,0.0,0.0,0.0,0.0
Colombia,2020,4,1016.73,2.0,16.73,0.5,0.016454712657244304
Colombia,2021,2,157.52,1.0,24.0,0.5,0.15236160487557135
Colombia,2022,8,2655.56,4.0,515.87,0.5,0.19426034433415174
Colombia,2023,7,1080.67,4.0,376.2,0.5714285714285714,0.3481173716305625
Colombia,2024,8,3854.35,2.0,202.0,0.25,0.05240831787460921
