Country,Financial closure year,total_investment,total_projects,green_investment,green_projects,green_share_value,green_share_count,total_investment_broad,total_projects_broad,green_investment_broad,green_projects_broad,green_share_value_broad,green_share_count_broad
Burundi,2020,15.7,1.0,15.7,1.0,1.0,1.0,15.7,1,15.7,1.0,1.0,1.0
Burundi,2023,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0
Burundi,2024,7.7,1.0,7.7,1.0,1.0,1.0,7.7,1,7.7,1.0,1.0,1.0
Cabo Verde,2010,80.0,1.0,80.0,1.0,1.0,1.0,80.0,1,80.0,1.0,1.0,1.0
Cabo Verde,2023,30.0,1.0,30.0,1.0,1.0,1.0,30.0,1,30.0,1.0,1.0,1.0
Cambodia,2010,247.0,1.0,0.0,0.0,0.0,0.0,1757.0,4,1510.0,3.0,0.8594194649971543,0.75
Cambodia,2012,0.0,1.0,0.0,1.0,,1.0,0.0,1,0.0,1.0,,1.0
Cambodia,2017,12.5,1.0,12.5,1.0,1.0,1.0,12.5,1,12.5,1.0,1.0,1.0
Cambodia,2020,45.0,1.0,45.0,1.0,1.0,1.0,45.0,1,45.0,1.0,1.0,1.0
Cambodia,2021,41.2,1.0,41.2,1.0,1.0,1.0,41.2,1,41.2,1.0,1.0,1.0
Cambodia,2023,,,,,,,447.5,1,447.5,1.0,1.0,1.0
Cameroon,2010,342.0,1.0,0.0,0.0,0.0,0.0,342.0,1,0.0,0.0,0.0,0.0
Cameroon,2018,,,,,,,1388.34,1,1388.34,1.0,1.0,1.0
Cameroon,2023,100.0,1.0,100.0,1.0,1.0,1.0,100.0,1,100.0,1.0,1.0,1.0
Chad,2020,150.0,1.0,150.0,1.0,1.0,1.0,150.0,1,150.0,1.0,1.0,1.0
Chad,2021,71.35,2.0,71.35,2.0,1.0,1.0,71.35,2,71.35,2.0,1.0,1.0
Chad,2023,100.0,1.0,100.0,1.0,1.0,1.0,100.0,1,100.0,1.0,1.0,1.0
China,2010,421.47,5.0,421.47,5.0,1.0,1.0,421.47,5,421.47,5.0,1.0,1.0
China,2011,2594.8,43.0,2594.8,43.0,1.0,1.0,2636.0,44,2636.0,44.0,1.0,1.0
China,2012,2867.22,37.0,2867.22,37.0,1.0,1.0,3102.12,41,3102.12,41.0,1.0,1.0
China,2013,3531.53,48.0,3531.53,48.0,1.0,1.0,3689.2200000000003,52,3689.2200000000003,52.0,1.0,1.0
China,2014,1199.46,22.0,1199.46,22.0,1.0,1.0,1608.08,27,1608.08,27.0,1.0,1.0
China,2015,2722.18,31.0,2722.18,31.0,1.0,1.0,3186.65,39,3186.65,39.0,1.0,1.0
China,2016,3123.441,38.0,2695.121,37.0,0.8628691881805997,0.9736842105263158,3435.081,45,3006.761,44.0,0.875310072746465,0.9777777777777777
China,2017,2483.56,27.0,2483.56,27.0,1.0,1.0,2902.08,34,2902.08,34.0,1.0,1.0
China,2018,150.17,3.0,150.17,3.0,1.0,1.0,252.17,4,252.17,4.0,1.0,1.0
China,2019,9.71,1.0,9.71,1.0,1.0,1.0,9.71,1,9.71,1.0,1.0,1.0
China,2020,189.45,2.0,189.45,2.0,1.0,1.0,838.1800000000001,11,838.1800000000001,11.0,1.0,1.0
China,2021,70.0,1.0,70.0,1.0,1.0,1.0,264.41,4,264.41,4.0,1.0,1.0
China,2022,563.4,3.0,563.4,3.0,1.0,1.0,563.4,3,563.4,3.0,1.0,1.0
China,2023,1698.44,8.0,1100.44,7.0,0.6479122017851676,0.875,7103.57,12,6505.57,11.0,0.9158169765343341,0.9166666666666666
China,2024,12166.59,31.0,12166.59,31.0,1.0,1.0,15618.89,34,15618.89,34.0,1.0,1.0
Colombia,2010,0.0,1.0,0.0,0.0,,0.0,98.716,2,98.716,1.0,1.0,0.5
Colombia,2011,,,,,,,684.0,1,684.0,1.0,1.0,1.0
Colombia,2014,178.0,2.0,178.0,2.0,1.0,1.0,384.6,3,384.6,3.0,1.0,1.0
Colombia,2015,59.0,1.0,59.0,1.0,1.0,1.0,59.0,1,59.0,1.0,1.0,1.0
Colombia,2016,65.0,1.0,65.0,1.0,1.0,1.0,65.0,1,65.0,1.0,1.0,1.0
