Country,year,green_investment,green_share_value,country,resilience_score,Country Name,gdp_pc,rule_law,log_green,cluster
Chad,2023,100.0,1.0,Chad,-0.6528376464399982,Chad,-1.0895683396816338,-2.201127271507713,4.61512051684126,1
China,2010,421.47,1.0,China,2.6911104521360194,China,0.3286563513069334,-0.4646050963999077,6.046118438359029,0
China,2011,2594.8,1.0,China,2.6911104521360194,China,0.4763276370708558,-0.22670913064915388,7.8616500332536585,0
China,2012,2867.22,1.0,China,2.6911104521360194,China,0.6055750298609949,-0.44403997497097863,7.961446907285235,0
China,2013,3531.53,1.0,China,2.6911104521360194,China,0.7427946685804593,-0.6823295473045142,8.169769607091624,0
China,2014,1199.46,1.0,China,2.6911104521360194,China,0.8839542286003179,-0.44161248026485644,7.090460095655974,0
China,2015,2722.18,1.0,China,2.6911104521360194,China,1.0251848023848866,-0.37632490421900433,7.9095555940512625,0
China,2016,2695.121,0.8628691881805997,China,2.6911104521360194,China,1.1708333628696768,-0.2821617313661798,7.8995693523307,0
China,2017,2483.56,1.0,China,2.6911104521360194,China,1.3274892150171806,-0.08482171466884511,7.817850860479091,0
China,2018,150.17,1.0,China,2.6911104521360194,China,1.4942591897668873,-0.05030412927337411,5.018405031360617,0
China,2019,9.71,1.0,China,2.6911104521360194,China,1.6554489885021917,-0.12192031872435423,2.3711778844596574,0
China,2020,189.45,1.0,China,2.6911104521360194,China,1.7181999790765707,-0.02481174354353881,5.249389692924613,0
China,2021,70.0,1.0,China,2.6911104521360194,China,1.9770874499606546,-0.09213964076629215,4.2626798770413155,0
China,2022,563.4,1.0,China,2.6911104521360194,China,2.081409966042242,-0.1502487716202981,6.335763219978659,0
China,2023,1100.44,0.6479122017851676,China,2.6911104521360194,China,2.2702624587022897,-0.12353918795981571,7.00437369358312,0
China,2024,12166.59,1.0,China,2.6911104521360194,China,2.454479916670849,-0.1858242666555252,9.4065311384339,0
Colombia,2010,0.0,,Colombia,1.527998070022622,Colombia,0.16954928697237953,0.3167366305393414,0.0,0
Colombia,2014,178.0,1.0,Colombia,1.527998070022622,Colombia,0.43180765900822055,0.2005462275643214,5.187385805840755,0
Colombia,2015,59.0,1.0,Colombia,1.527998070022622,Colombia,0.4684116791058067,0.22801012353431355,4.0943445622221,0
Colombia,2016,65.0,1.0,Colombia,1.527998070022622,Colombia,0.4879325884520278,0.34474720231875283,4.189654742026425,0
Colombia,2018,78.0,1.0,Colombia,1.527998070022622,Colombia,0.49876157767835344,0.17627196259402186,4.3694478524670215,0
Colombia,2019,0.0,0.0,Colombia,1.527998070022622,Colombia,0.5237326744704452,0.10549985396711575,0.0,0
Colombia,2020,16.73,1.0,Colombia,1.527998070022622,Colombia,0.36538023114314533,0.037047282440615635,2.8752581200861167,0
Colombia,2021,24.0,1.0,Colombia,1.527998070022622,Colombia,0.5287044087108894,-0.019318223411562495,3.2188758248682006,0
Colombia,2022,515.87,0.8809857230685157,Colombia,1.527998070022622,Colombia,0.6441602695337919,-0.07148797403674508,6.247791392212425,0
Colombia,2023,376.2,1.0,Colombia,1.527998070022622,Colombia,0.6360322993413375,-0.1525871932771055,5.9327755507593025,0
Colombia,2024,202.0,1.0,Colombia,1.527998070022622,Colombia,0.6461453451375955,-0.14076298671858273,5.313205979041787,0
Costa Rica,2013,274.6,1.0,Costa Rica,0.0741075923808752,Costa Rica,1.8850748367124344,2.201180907344177,5.618950539139504,2
Costa Rica,2014,165.0,1.0,Costa Rica,0.0741075923808752,Costa Rica,1.9635360586994768,2.4053616941058666,5.111987788356544,2
Costa Rica,2015,189.0,1.0,Costa Rica,0.0741075923808752,Costa Rica,2.0479230468066905,2.3474891953031407,5.247024072160486,2
Djibouti,2020,123.5,1.0,Djibouti,-0.6528376464399982,Djibouti,-0.535755268570391,-1.2571389456058404,4.824305715904762,1
Djibouti,2023,0.0,,Djibouti,-0.6528376464399982,Djibouti,-0.43623490094844836,-1.245083416605734,0.0,1
Dominican Republic,2010,0.0,0.0,Dominican Republic,-0.7982266942041729,Dominican Republic,0.30022009188302934,-0.3676083841296715,0.0,1
Dominican Republic,2011,402.7,0.8647197766802662,Dominican Republic,-0.7982266942041729,Dominican Republic,0.3311728119831032,-0.24308541138059228,6.000672027858895,1
Dominican Republic,2012,50.0,0.5555555555555556,Dominican Republic,-0.7982266942041729,Dominican Republic,0.3562328301256977,-0.20182994465475645,3.9318256327243257,2
Dominican Republic,2015,204.5,1.0,Dominican Republic,-0.7982266942041729,Dominican Republic,0.6280441635449964,-0.08250976081452965,5.32544603393629,2
Dominican Republic,2017,125.0,1.0,Dominican Republic,-0.7982266942041729,Dominican Republic,0.7951920610294048,-0.14031045283020382,4.836281906951478,2
Dominican Republic,2018,166.05,1.0,Dominican Republic,-0.7982266942041729,Dominican Republic,0.9221339232621859,-0.11448314708521293,5.118293168802766,2
Dominican Republic,2019,78.0,1.0,Dominican Republic,-0.7982266942041729,Dominican Republic,1.0083423529710391,0.042543557684927985,4.3694478524670215,2
Dominican Republic,2021,45.0,1.0,Dominican Republic,-0.7982266942041729,Dominican Republic,1.0741843836823184,0.40108416734702057,3.828641396489095,2
Dominican Republic,2022,310.0,1.0,Dominican Republic,-0.7982266942041729,Dominican Republic,1.176253925925603,0.5090946150473397,5.739792912179234,2
Dominican Republic,2023,858.02,1.0,Dominican Republic,-0.7982266942041729,Dominican Republic,1.208567569900312,0.5925577875437779,6.755792204600291,2
Dominican Republic,2024,123.6,0.277067921990585,Dominican Republic,-0.7982266942041729,Dominican Republic,1.3121570462209555,0.7281285601458543,4.825108606353353,2
Ecuador,2013,136.7,1.0,Ecuador,-0.7982266942041729,Ecuador,0.3657750933099053,-1.1408258598858705,4.925077405734609,1
Ecuador,2016,111.4,1.0,Ecuador,-0.7982266942041729,Ecuador,0.3530071551805498,-1.0758598428977766,4.722063937459591,1
Ecuador,2017,111.4,1.0,Ecuador,-0.7982266942041729,Ecuador,0.42673141807457937,-0.8834588331646065,4.722063937459591,1
Ecuador,2023,181.0,1.0,Ecuador,-0.7982266942041729,Ecuador,0.44711629451530854,-0.828790690500807,5.204006687076795,1
El Salvador,2015,156.73999999999998,1.0,El Salvador,-0.6528376464399982,El Salvador,-0.2419020413637066,-0.6191377825379069,5.060948107969844,1
El Salvador,2017,160.0,1.0,El Salvador,-0.6528376464399982,El Salvador,-0.19436835383495962,-0.8342853474509802,5.081404364984463,1
El Salvador,2018,143.0,1.0,El Salvador,-0.6528376464399982,El Salvador,-0.16797973395180418,-0.7668103593278717,4.969813299576001,1
El Salvador,2019,0.0,0.0,El Salvador,-0.6528376464399982,El Salvador,-0.13996465144148518,-0.5763306659678796,0.0,1
El Salvador,2020,7.8,1.0,El Salvador,-0.6528376464399982,El Salvador,-0.2366455535135823,-0.44302165335313987,2.174751721484161,1
El Salvador,2022,25.3,1.0,El Salvador,-0.6528376464399982,El Salvador,-0.07846055708971221,-1.0728951146604369,3.269568939183719,1
Eswatini,2021,115.0,1.0,Eswatini,-0.7982266942041729,Eswatini,-0.2625056072333116,-0.4583142387332497,4.7535901911063645,1
Ethiopia,2014,120.0,1.0,Ethiopia,-0.21667050314747416,Ethiopia,-1.1763921086473232,-0.586445311947488,4.795790545596741,1
Ethiopia,2021,271.0,1.0,Ethiopia,-0.21667050314747416,Ethiopia,-1.108690396713102,-1.0355021014405792,5.605802066295998,1
Gabon,2011,234.0,1.0,Gabon,-0.7982266942041729,Gabon,0.5986514086134004,-0.04672411490484613,5.459585514144159,2
Gabon,2012,134.0,1.0,Gabon,-0.7982266942041729,Gabon,0.6287011389730546,0.06782394688252857,4.90527477843843,2
Gabon,2019,167.0,1.0,Gabon,-0.7982266942041729,Gabon,0.6328454347883302,-0.8453455854324843,5.123963979403259,1
Gabon,2021,210.96,1.0,Gabon,-0.7982266942041729,Gabon,0.535026790332996,-0.9620467541362319,5.356397577624562,1
Gabon,2022,152.38,1.0,Gabon,-0.7982266942041729,Gabon,0.5490220060642513,-1.3698568370907693,5.032918502336713,1
Gabon,2023,30.0,1.0,Gabon,-0.7982266942041729,Gabon,0.5530014483143675,-1.334072796100894,3.4339872044851463,1
Georgia,2019,14.4,1.0,Georgia,-0.3620595509116488,Georgia,0.10065142353323668,1.6412585044389498,2.7343675094195836,2
Georgia,2024,235.22,1.0,Georgia,-0.3620595509116488,Georgia,0.6301018141486743,1.4905576579616018,5.464763574183701,2
Ghana,2013,0.0,0.0,Ghana,-0.7982266942041729,Ghana,-0.8405529378070214,1.6121230309921533,0.0,2
Ghana,2014,0.0,0.0,Ghana,-0.7982266942041729,Ghana,-0.8383070681605599,1.4780348431852202,0.0,2
Ghana,2016,0.0,0.0,Ghana,-0.7982266942041729,Ghana,-0.8341339908447455,1.6172563134990119,0.0,2
Ghana,2017,0.0,,Ghana,-0.7982266942041729,Ghana,-0.8050544122106039,1.7922371892836344,0.0,2
Guatemala,2010,0.0,0.0,Guatemala,-0.6528376464399982,Guatemala,-0.3123259253323685,-0.9233605901558386,0.0,1
Guatemala,2012,36.0,1.0,Guatemala,-0.6528376464399982,Guatemala,-0.28084451223484974,-1.0647142231825144,3.6109179126442243,1
Guatemala,2014,410.2,1.0,Guatemala,-0.6528376464399982,Guatemala,-0.23633234371110884,-1.0625613302554506,6.019079714140955,1
Guatemala,2015,94.0,1.0,Guatemala,-0.6528376464399982,Guatemala,-0.21209165441494512,-1.0387182002427637,4.553876891600541,1
Guatemala,2019,56.4,1.0,Guatemala,-0.6528376464399982,Guatemala,-0.14111827547993167,-1.1671805021566,4.050044303325521,1
Guatemala,2024,64.0,1.0,Guatemala,-0.6528376464399982,Guatemala,-0.01860682839357773,-1.0673145811262323,4.174387269895637,1
Guinea,2018,0.0,0.0,Guinea,-0.7982266942041729,Guinea,-1.0771214383702723,-1.39368684688403,0.0,1
Guinea,2020,76.5,1.0,Guinea,-0.7982266942041729,Guinea,-1.0639264961470292,-1.3756355514725327,4.350277936359301,1
Guinea,2024,0.0,,Guinea,-0.7982266942041729,Guinea,-1.034929031575916,-1.4946620216136604,0.0,1
Honduras,2010,318.8,1.0,Honduras,-0.7982266942041729,Honduras,-0.7278943793397427,-1.138826731650694,5.767695800399854,1
Honduras,2011,144.5,1.0,Honduras,-0.7982266942041729,Honduras,-0.7174659578594754,-1.2087414118704605,4.980176086611547,1
Honduras,2013,248.0,1.0,Honduras,-0.7982266942041729,Honduras,-0.6998860385783665,-1.7029034561032195,5.517452896464707,1
Honduras,2014,554.3,1.0,Honduras,-0.7982266942041729,Honduras,-0.6929953692838988,-1.5562089174439255,6.319508508247561,1
Honduras,2015,430.0,1.0,Honduras,-0.7982266942041729,Honduras,-0.6808720746914515,-1.5155876080313475,6.066108090103747,1
Honduras,2016,349.3,1.0,Honduras,-0.7982266942041729,Honduras,-0.668005507819404,-1.5647150459208308,5.858789930203441,1
Honduras,2017,259.6,1.0,Honduras,-0.7982266942041729,Honduras,-0.6484590598113877,-1.3628652981848348,5.562986664690745,1
Honduras,2023,370.0,1.0,Honduras,-0.7982266942041729,Honduras,-0.6068778227934184,-1.5143158562015784,5.916202062607435,1
India,2010,788.4,0.0274114915481234,India,2.254943308843495,India,-0.9802470352597066,1.2928843261689196,6.671273163228746,0
India,2011,2164.75,0.1244298700664181,India,2.254943308843495,India,-0.966824514903214,1.1170876830204923,7.6805220007702495,0
India,2012,3512.1,0.5840941974754278,India,2.254943308843495,India,-0.951947205749304,0.8463991264319969,8.16425411755952,0
India,2013,1210.9,0.6975230414746544,India,2.254943308843495,India,-0.9327725397233542,0.8807415348304836,7.099944654974442,0
India,2014,867.33,1.0,India,2.254943308843495,India,-0.9082506486627482,0.7663994912490603,6.766571826740396,0
India,2015,2012.24,0.9642059666305692,India,2.254943308843495,India,-0.8794466193738195,0.831341327445388,7.60750064357031,0
India,2016,1142.78,1.0,India,2.254943308843495,India,-0.8475260308674387,0.9581226229785512,7.04209384575394,0
India,2017,1165.13,1.0,India,2.254943308843495,India,-0.8202966593190498,1.0556100796029146,7.061445852976939,0
India,2018,1453.96,1.0,India,2.254943308843495,India,-0.7929437081683353,1.19446877116856,7.282733687818762,0
India,2019,856.35,1.0,India,2.254943308843495,India,-0.7777233376326217,1.1013826198755323,6.75384623662486,0
India,2020,1544.45,0.5099803529858509,India,2.254943308843495,India,-0.8151521898457624,0.9106398266617698,7.3430704090591865,0
India,2021,1598.49,1.0,India,2.254943308843495,India,-0.7692629509108422,0.7238932302712742,7.377440107416294,0
India,2022,1421.26,1.0,India,2.254943308843495,India,-0.7308596569027855,0.8933396069715032,7.260002434718712,0
India,2023,4316.1,1.0,India,2.254943308843495,India,-0.68095803419415,0.9453180779042999,8.370339159521613,0
India,2024,2429.89,1.0,India,2.254943308843495,India,-0.6445361379556687,1.0573663700968905,7.796012724423584,0
Indonesia,2010,0.0,0.0,Indonesia,1.527998070022622,Indonesia,-0.5654007362778807,-0.3527319812043023,0.0,0
Indonesia,2011,35.0,0.217391304347826,Indonesia,1.527998070022622,Indonesia,-0.5281792976221296,0.49111350812875576,3.58351893845611,0
Indonesia,2012,1901.0,1.0,Indonesia,1.527998070022622,Indonesia,-0.49035625040105524,0.2609293157962017,7.550661243105336,0
Indonesia,2013,36.7,0.0189497599008622,Indonesia,1.527998070022622,Indonesia,-0.45431601141512323,0.18090528583219065,3.629660094453965,0
Indonesia,2014,1690.5,1.0,Indonesia,1.527998070022622,Indonesia,-0.42094733521462785,0.3686644662522128,7.433370988220763,0
