Region,Country,IncomeGroup,IDA Status,Financial closure year,Financial closure Month,Project name,RelatedNames,Type of PPI,Subtype of PPI,Project status,Primary sector,Subsector,Segment,Location,ContractPeriod,GovtGrantingContract,DirectGovtSupport,DirectGovtSupportValue,InDirectGovtSupport,InDirectGovtSupportValue,Total Equity,InvestmentYear,PercentPrivate,FeesToGovernment,PhysicalAssets,TotalInvestment,CapacityType,Capacity,Technology,RelatedProjects,BidCriteria,AwardMethod,NumberOfBids,Sponsors,Sponsors Country,Main Revenue Source,Other Revenue Source,MultiLateralSupport,BiLateralSupport,TotalDebtFunding,DebtEquityGrantRatio,ProjectBanks,UnsolicitedProposal,PublicDisclosure,is_resilient
East Asia and Pacific,China,Upper middle income,Non-IDA,2018,April,Danyang Waste-to-Energy Plant,Danyang City Jiangsu Province Waste-to-Energy Plant,Greenfield project,"Build, own, and operate",Active,Municipal Solid Waste,Treatment/ Disposal,,"Danyang, Jiangsu Province",30,Not Available,Not Available,,Not Available,,,2018,100,Not Available,81.54,81.54,Throughput (thousands of tons per year),547.5,,,,Not Available,,China Everbright International (Not Available / 100% ),China,Purchase agreements or transmission fees with public entity(ies),,No,No,,,,No,No,1.0
East Asia and Pacific,China,Upper middle income,Non-IDA,2018,January,Daye City Road Project,,Greenfield project,"Build, operate, and transfer",Active,Transport,Roads,Highway,"Daye City, Hubei, Huangshi",12,Local/Municipal,Revenue subsidy,Not Available,Not Available,,156.87,2018,100,Not Available,156.87,156.87,KM,17.4,,,,Competitive negotiation,,Others ($156.87 / 100% ),..,Fixed annuity/availability payment(s) from the government,,No,No,,,,No,No,0.0
East Asia and Pacific,China,Upper middle income,Non-IDA,2018,October,Dingtang Connection Line (Malaying Line Reconstruction) Project of Shipu Expressway,,Greenfield project,"Build, operate, and transfer",Active,Transport,Roads,Highway,"Zhejiang, Ningbo, Xiangshan County",13,National,Capital subsidy,Not Available,Not Available,,,2018,100,Not Available,106.76,106.76,KM,10.06,,,Lowest government payments,Competitive bidding,Not Available,Others (Not Available / Not Available% ),..,Fixed annuity/availability payment(s) from the government,,No,No,,,,No,No,0.0
East Asia and Pacific,China,Upper middle income,Non-IDA,2018,July,Dongming County Highway,,Greenfield project,"Build, operate, and transfer",Active,Transport,Roads,Highway,"Shandong Province, Heze City, Dongming County",18,National,Capital subsidy,Not Available,Not Available,,,2018,90,Not Applicable,295.07,295.07,KM,1544.6,,,Lowest government payments,Competitive bidding,Not Available,"Longjian Road and Bridge Co., Ltd. (Not Available / 90% ), 

Dongming Mingxiang Investment Development Co., Ltd. (Not Available / 10% )","China, 

China",Fixed annuity/availability payment(s) from the government,,No,No,,,,No,No,0.0
East Asia and Pacific,China,Upper middle income,Non-IDA,2018,July,Fengxin Waste-to-Energy Plant,,Greenfield project,"Build, own, and operate",Active,Municipal Solid Waste,Treatment/ Disposal,,"Fengxin county, Jiangxi province",30,Local/Municipal,Not Available,,Not Available,,,2018,100,Not Available,131,131.0,Throughput (thousands of tons per year),328.5,,,,Not Available,,Zhejiang Weiming Group (Not Available / 100% ),China,Purchase agreements or transmission fees with public entity(ies),,No,No,,,,No,No,1.0
East Asia and Pacific,China,Upper middle income,Non-IDA,2018,June,Fujian Gutian Integrated Biomass and Waste-to-Energy Project,,Greenfield project,"Build, own, and operate",Active,Municipal Solid Waste,Treatment/ Disposal,,"Gutian, Fujian Province",30,Local/Municipal,Not Available,,Not Available,,,2018,100,Not Applicable,34.01,34.01,Throughput (thousands of tons per year),300,,,,Not Available,,China Everbright International (Not Available / 100% ),China,Purchase agreements or transmission fees with public entity(ies),,No,No,,,,No,No,1.0
East Asia and Pacific,China,Upper middle income,Non-IDA,2018,January,Fuxian County Road Construction Project,,Greenfield project,"Build, operate, and transfer",Active,Transport,Roads,Not Available,"Yan'an City, Shaanxi Province",12,Local/Municipal,Revenue subsidy,Not Available,Not Available,,63.05,2018,100,0,63.05,63.05,Not Available,Not Available,,,Not Available,Competitive bidding,Not Available,Others ($63.05 / 100% ),..,Fixed annuity/availability payment(s) from the government,,No,No,,,,No,No,0.0
East Asia and Pacific,China,Upper middle income,Non-IDA,2018,June,Gansu Linyi Integrated Biomass and Waste-to-Energy Project,,Greenfield project,"Build, operate, and transfer",Active,Municipal Solid Waste,Treatment/ Disposal,,"Linyi County, Gansu Province",30,Local/Municipal,Not Available,,Not Available,,,2018,100,Not Applicable,42.55,42.55,Throughput (thousands of tons per year),106.22,,,,Not Available,,China Everbright International (Not Available / 100% ),China,Purchase agreements or transmission fees with public entity(ies),,No,No,,,,No,No,1.0
East Asia and Pacific,China,Upper middle income,Non-IDA,2018,August,Ganzhou City Roads First Phase,,Greenfield project,"Build, operate, and transfer",Active,Transport,Roads,Highway,"Shanxi Province, Zhangzhou City, Pianguan County",24,National,Not Available,,Not Available,,,2018,Not Available,Not Applicable,260.25,260.25,KM,136.477,,,Lowest government payments,Competitive bidding,Not Available,Others (Not Available / Not Available% ),..,Fixed annuity/availability payment(s) from the government,,No,No,,,,No,No,0.0
East Asia and Pacific,China,Upper middle income,Non-IDA,2018,February,Haikou Meilan International Airport Development,,Greenfield project,"Build, operate, and transfer",Active,Transport,Airports,Terminal,Hainan Province,Not Available,National,Not Available,,Not Available,,,2018,20,Not Available,1200,1200.0,Other,1,,,,Not Available,,Hainan Runda Industrial Co. Ltd. (Not Available / 100% ),China,Not Applicable,,No,,1200,Not Available,China Development Bank (CDB) (Public / Local / $1200),No,No,0.0
East Asia and Pacific,China,Upper middle income,Non-IDA,2018,September,Hangzhou Linjiang Waste-to-Energy Plant,,Greenfield project,Not Available,Active,Municipal Solid Waste,Treatment/ Disposal,,"Hangzhou, Zhejiang Province",Not Available,Not Available,Not Available,,Not Available,,,2018,100,Not Available,761,761.0,Throughput (thousands of tons per year),1905,,,,Not Available,,Hangzhou Linjiang Environment Energy Co Ltd (Not Available / 100% ),China,Purchase agreements or transmission fees with public entity(ies),,,,,,,,No,1.0
East Asia and Pacific,China,Upper middle income,Non-IDA,2018,January,Hejiang County Transport Infrastructure Project,,Greenfield project,"Build, operate, and transfer",Active,Transport,Roads,Highway,"Sichuan Province, Cangzhou, Hejiang County",10,Local/Municipal,Not Available,,Not Available,,316.82,2018,90,Not Available,316.82,316.82,KM,Not Available,,,,Competitive negotiation,,"China Communications Second Highway Engineering Bureau Co., Ltd. ($285.14 / 90% )",China,Variable annuity/availability payment(s) from the government,,No,No,,,,No,No,0.0
East Asia and Pacific,China,Upper middle income,Non-IDA,2018,December,Henan Pingyu Waste-to-Energy plant,,Greenfield project,"Build, operate, and transfer",Active,Municipal Solid Waste,Treatment/ Disposal,,"Zhumadian, Henan Province",30,Local/Municipal,Not Available,,Not Available,,,2018,100,Not Applicable,63.16,63.16,Throughput (thousands of tons per year),383.25,,,,Not Available,,China Everbright International (Not Available / 100% ),China,Purchase agreements or transmission fees with public entity(ies),,No,No,,,,No,No,1.0
East Asia and Pacific,China,Upper middle income,Non-IDA,2018,August,Huai'an S312 (Muhe-Panji) highway reconstruction,,Brownfield,"Build, rehabilitate, operate, and transfer",Active,Transport,Roads,Highway,"Anhui Province, Huainan City, Panji District",17,National,Capital subsidy,Not Available,Not Available,,,2018,Not Available,Not Applicable,125.74,125.74,KM,Not Available,,,Lowest government payments,Competitive bidding,Not Available,Others (Not Available / Not Available% ),..,Fixed annuity/availability payment(s) from the government,,No,No,,,,No,No,0.0
East Asia and Pacific,China,Upper middle income,Non-IDA,2018,September,Hui'an County Road Network,,Greenfield project,"Build, operate, and transfer",Active,Transport,Roads,Highway,Fujian Province,17,National,Capital subsidy,Not Available,Not Available,,,2018,100,Not Available,288.3,288.3,KM,Not Available,,,Lowest government payments,Competitive bidding,Not Available,Hui'an Construction Development (Not Available / 100% ),China,Fixed annuity/availability payment(s) from the government,,,,,,,,No,0.0
East Asia and Pacific,China,Upper middle income,Non-IDA,2018,January,Huizhou City South Section of the Fourth Ring Road,,Greenfield project,"Build, operate, and transfer",Active,Transport,Roads,Highway,"Guangdong Province, Huizhou City",11,Local/Municipal,Not Available,,Not Available,,253.44,2018,100,Not Available,300.23,300.23,KM,11.3,,,Not Available,Competitive bidding,Not Available,Others ($253.44 / 100% ),..,Not Applicable,,No,No,46.79,16:84,Other China Construction Win-Win No. 5 (Huizhou) Infrastructure Investment Center (Limited Partnership) (Not Available / Not Available / $46.79),No,No,0.0
East Asia and Pacific,China,Upper middle income,Non-IDA,2018,April,Ji'an Waste-to-Energy Plant,Ji'an City Jiangxi Province Waste-to-Energy  Plant,Greenfield project,Not Available,Active,Municipal Solid Waste,Treatment/ Disposal,,"Ji'an City, Jiangxi Province",30,State/Provincial,Not Available,,Not Available,,,2018,100,Not Available,94.44,94.44,Throughput (thousands of tons per year),438,,,,Not Available,,China Everbright International (Not Available / 100% ),China,Not Applicable,,No,No,,,,No,No,1.0
East Asia and Pacific,China,Upper middle income,Non-IDA,2018,June,Ji'nan Sludge Treatment Project,,Greenfield project,"Build, operate, and transfer",Active,Water and sewerage,Treatment plant,Sewerage treatment plant,"Haiyan, Zhejiang Province",30,Not Available,Not Available,,Not Available,,,2018,100,Not Applicable,9.64,9.64,Throughput (thousands of tons per year),27.37,,,,Not Available,,China Everbright International (Not Available / 100% ),China,Variable annuity/availability payment(s) from the government,,No,No,,,,No,No,1.0
East Asia and Pacific,China,Upper middle income,Non-IDA,2018,January,Jiangjin Jingshui Highway,,Greenfield project,"Build, operate, and transfer",Active,Transport,Roads,Highway,Guizhou Province,33,Local/Municipal,Not Available,,Not Available,,1459.96,2018,100,Not Available,1459.96,1459.96,KM,79.35,,,Not Available,Competitive bidding,Not Available,Others ($1459.96 / 100% ),..,Not Applicable,,No,No,,,,No,No,0.0
East Asia and Pacific,China,Upper middle income,Non-IDA,2018,December,Jiangsu Xuzhou Yanqun Waste Treatment Plant,,Greenfield project,"Build, operate, and transfer",Active,Municipal Solid Waste,Treatment/ Disposal,,"Xuzhou Yanqun, Jiangsu Province",Not Available,Not Available,Not Available,,Not Available,,,2018,100,Not Applicable,7.63,7.63,Throughput (thousands of tons per year),419.12,,,,Not Available,,China Everbright International (Not Available / 100% ),China,Variable annuity/availability payment(s) from the government,,No,No,,,,No,No,1.0
East Asia and Pacific,China,Upper middle income,Non-IDA,2018,July,Jiangsu Zhangjiagang Solid Waste Integrated Treatment Plant,,Greenfield project,"Build, operate, and transfer",Active,Municipal Solid Waste,Treatment/ Disposal,,"Zhangjiagang, Jiangsu Province",30,Local/Municipal,Not Available,,Not Available,,,2018,100,Not Applicable,69.09,69.09,Throughput (thousands of tons per year),40,,,,Not Available,,China Everbright International (Not Available / 100% ),China,Purchase agreements or transmission fees with public entity(ies),,No,No,,,,No,No,1.0
East Asia and Pacific,China,Upper middle income,Non-IDA,2018,November,Jianhu County High-speed Railway Passenger Transport Hub Project,,Greenfield project,"Build, operate, and transfer",Active,Transport,Railways,Local Passenger/Light rail,"Jiangsu Province, Salt City, Jianhu County",15,National,Capital subsidy,Not Available,Not Available,,,2018,Not Available,Not Applicable,91.81,91.81,Not Available,Not Available,,,Lowest government payments,Competitive bidding,Not Available,Others (Not Available / Not Available% ),..,Fixed annuity/availability payment(s) from the government,,No,No,,,,No,No,0.0
East Asia and Pacific,China,Upper middle income,Non-IDA,2018,April,Jiaxiang Waste-to-Energy Power Plant Phase I,Jiaxiang City Shandong Province Waste-to-Energy Power Plant Phase 1,Greenfield project,Not Available,Active,Municipal Solid Waste,Treatment/ Disposal,,"Jiaxiang, Shandong Province",30,Not Available,Not Available,,Not Available,,,2018,100,Not Available,83.62,83.62,Throughput (thousands of tons per year),547.5,,,,Not Available,,China Everbright International (Not Available / 100% ),China,Purchase agreements or transmission fees with public entity(ies),,No,No,,,,No,No,1.0
East Asia and Pacific,China,Upper middle income,Non-IDA,2018,January,Jimo City Wastewater Treatment Plant,,Greenfield project,"Build, operate, and transfer",Active,Water and sewerage,Treatment plant,Sewerage treatment plant,"Qingdao City, Shandong Province",30,Local/Municipal,Revenue subsidy,Not Available,Not Available,,21.47,2018,100,0,21.47,21.47,Not Available,Not Available,,,Not Available,Competitive bidding,Not Available,Others ($21.47 / 100% ),..,Fixed annuity/availability payment(s) from the government,,No,No,,,,No,No,1.0
East Asia and Pacific,China,Upper middle income,Non-IDA,2018,January,Jinzhong City Municipal Roads Construction Project,,Greenfield project,"Build, operate, and transfer",Active,Transport,Roads,Highway,"Jinzhong City,  Shanxi Province, Yuci District",22,Local/Municipal,Not Available,,Not Available,,212.60,2018,80,Not Available,212.6,212.6,KM,16.5,,,Not Available,Competitive bidding,Not Available,"Others ($42.52 / 20% ), 

Others ($127.56 / 60% )",".., 

..",Not Applicable,,No,No,,,,No,No,0.0
East Asia and Pacific,China,Upper middle income,Non-IDA,2018,September,Jinzhou Rural Road Network Improvement Project,,Brownfield,"Rehabilitate, operate, and transfer",Active,Transport,Roads,Highway,"Hebei Province, Shijiazhuang City, Jinzhou City",14,National,Not Available,,Not Available,,,2018,99,Not Applicable,76.06,76.06,KM,142.36,,,Lowest government payments,Competitive bidding,Not Available,"Jinzhou City Traffic Construction Development Co. (Not Available / 1% ), 

Xingtai Road and Bridge Construction Corporation (Not Available / 99% )","China, 

China",Fixed annuity/availability payment(s) from the government,,No,No,,,,No,No,0.0
East Asia and Pacific,China,Upper middle income,Non-IDA,2018,August,Jiujiang Waste-to-energy Project,,Greenfield project,Not Available,Active,Municipal Solid Waste,Treatment/ Disposal,,"Jiujiang, Jiangxi Province",30,Not Available,Not Available,,Not Available,,,2018,100,Not Available,185.5,185.5,Throughput (thousands of tons per year),821.25,,,,Not Available,,China Everbright International (Not Available / 100% ),China,Purchase agreements or transmission fees with public entity(ies),,,,,,,,No,1.0
East Asia and Pacific,China,Upper middle income,Non-IDA,2018,August,Keshan County Road Network Improvement,,Greenfield project,"Build, operate, and transfer",Active,Transport,Roads,Highway,"Qiqihar City, Heilongjiang Province",20,National,Capital subsidy,Not Available,Not Available,,,2018,Not Available,Not Available,73.9,73.9,KM,172.4,,,Lowest government payments,Competitive bidding,Not Available,Others (Not Available / Not Available% ),..,Fixed annuity/availability payment(s) from the government,,,,,,,,No,0.0
East Asia and Pacific,China,Upper middle income,Non-IDA,2018,July,Key Transportation Projects (Phase I) in Laoshan District,,Greenfield project,"Build, operate, and transfer",Active,Transport,Roads,Highway,"Shandong Province, Rizhao City, Laoshan District",12,National,Capital subsidy,Not Available,Not Available,,,2018,95,Not Applicable,47.36,47.36,KM,Not Available,,,Lowest government payments,Competitive bidding,Not Available,"Rizhao Highway Construction Co., Ltd. (Not Available / 95% ), 

Rizhao City Lushan District Park Development Co., Ltd. (Not Available / 5% )","China, 

China",Fixed annuity/availability payment(s) from the government,,No,No,,,,No,No,0.0
East Asia and Pacific,China,Upper middle income,Non-IDA,2018,January,Langxi County Wastewater Treatment Plant,,Greenfield project,"Build, operate, and transfer",Active,Water and sewerage,Treatment plant,Sewerage treatment plant,"Xuancheng City, Anhui Province",25,Local/Municipal,Revenue subsidy,Not Available,Not Available,,41.02,2018,100,0,61.46,61.46,Cubic meters per day (in thousands),40,,,Not Available,Competitive bidding,Not Available,"Anhui Guosheng Environmental Protection Energy Saving Technology Co., Ltd. ($41.02 / 100% )",China,Fixed annuity/availability payment(s) from the government,,No,No,20.44,33:67,,No,No,1.0
East Asia and Pacific,China,Upper middle income,Non-IDA,2018,January,Lanyuanhezi-Chifeng section of highway 219 in Chifeng City,,Greenfield project,"Build, operate, and transfer",Active,Transport,Roads,Highway,"Chifeng City, Inner Mongolia Autonomous Region",10,Local/Municipal,Revenue subsidy,Not Available,Not Available,,130.62,2018,100,0,130.62,130.62,KM,96.76,,,Not Available,Competitive bidding,Not Available,Others ($130.62 / 100% ),..,Fixed annuity/availability payment(s) from the government,,No,No,,,,No,No,0.0
East Asia and Pacific,China,Upper middle income,Non-IDA,2018,July,Lianping County Water Supply Project,,Greenfield project,"Build, operate, and transfer",Active,Water and sewerage,Treatment plant,Potable water and sewerage treatment plant,"Guangdong Province, Heyuan City, Lianping County",17,National,Not Available,,Not Available,,,2018,90,Not Applicable,36.62,36.62,Population (in thousands),316,,,Lowest government payments,Competitive bidding,Not Available,"China Nuclear Construction Group Fourth Engineering Bureau Co., Ltd. (Not Available / 90% ), 

Lianping County Shengcai City Construction Investment Development Co., Ltd. (Not Available / 10% )","China, 

China",Fixed annuity/availability payment(s) from the government,,No,No,,,,No,No,1.0
East Asia and Pacific,China,Upper middle income,Non-IDA,2018,January,Liaodong Bay Integrated Pipe Gallery,,Greenfield project,"Build, operate, and transfer",Active,Water and sewerage,Water Utility,Sewerage collection,"Liaoning Province, Panjin City, Liaodong Bay",15,Local/Municipal,Not Available,,Not Available,,112.61,2018,51,Not Available,112.61,112.61,KM,Not Available,,,,Competitive negotiation,,"China Construction Corporation ($5.74 / 6% ), 

Beijing Great Wall Hongrui Investment Management Co., Ltd. ($45.94 / 41% ), 

Others ($5.74 / 6% )","China, 

China, 

..",Not Applicable,,No,No,,,,No,No,1.0
East Asia and Pacific,China,Upper middle income,Non-IDA,2018,June,Liaoning Linghai Biomass Electricity and Heat Cogeneration Plant,,Greenfield project,"Build, own, and operate",Active,Energy,Electricity,Electricity generation,"Linghai City, Liaoning Province",30,Local/Municipal,Not Available,,Not Available,,,2018,100,Not Applicable,54.86,54.86,Throughput (thousands of tons per year),300,Biomass,,,Not Available,,China Everbright International (Not Available / 100% ),China,Purchase agreements or transmission fees with public entity(ies),,No,No,,,,No,No,1.0
East Asia and Pacific,China,Upper middle income,Non-IDA,2018,November,Linxiang-Shuangjiang Expressway,,Greenfield project,"Build, operate, and transfer",Active,Transport,Roads,Highway,"Yunnan Province, Linyi City",34,National,Capital subsidy,Not Available,Not Available,,,2018,100,Not Available,1015,1015.0,KM,49,,,Lowest government payments,Competitive bidding,Not Available,Others (Not Available / Not Available% ),..,Fixed annuity/availability payment(s) from the government,,No,No,,,,No,No,0.0
East Asia and Pacific,China,Upper middle income,Non-IDA,2018,October,Lixin Country National Trunk Line,,Greenfield project,"Build, operate, and transfer",Active,Transport,Roads,Highway,"Lixin County, Luzhou City, Anhui Province",15,National,Not Available,,Not Available,,,2018,90,Not Applicable,150.45,150.45,KM,48.41,,,Lowest government payments,Competitive bidding,Not Available,"Anhui Transportation Logistics Engineering Co. (Not Available / 90% ), 

Lixin County Urban and Rural Construction Investment Co., Ltd. (Not Available / 10% )","China, 

China",Fixed annuity/availability payment(s) from the government,,No,No,,,,No,No,0.0
East Asia and Pacific,China,Upper middle income,Non-IDA,2018,September,Longquanshan Waste-to-Energy plant,,Greenfield project,"Build, operate, and transfer",Active,Municipal Solid Waste,Treatment/ Disposal,,"Anhui Province, Hefei City",30,Local/Municipal,Capital subsidy,Not Available,Not Available,,,2018,Not Available,Not Applicable,204.55,204.55,Not Available,Not Available,,,Lowest government payments,Competitive bidding,Not Available,Others (Not Available / Not Available% ),..,Fixed annuity/availability payment(s) from the government,,No,No,,,,No,No,1.0
East Asia and Pacific,China,Upper middle income,Non-IDA,2018,July,Luyi County Rural Road,,Greenfield project,"Build, operate, and transfer",Active,Transport,Roads,Highway,Luyi County,15,National,Capital subsidy,Not Available,Not Available,,,2018,100,Not Available,43.9,43.9,KM,332.3,,,Lowest government payments,Competitive bidding,Not Available,"Yili First Construction Ecological Technology Co., Ltd (Not Available / 90% ), 

Jinwei Property Group (Not Available / 10% )","China, 

China",Fixed annuity/availability payment(s) from the government,,,,,,,,No,0.0
East Asia and Pacific,China,Upper middle income,Non-IDA,2018,June,Ma'anshan Food Waste Treatment Plant,,Greenfield project,"Build, operate, and transfer",Active,Municipal Solid Waste,Treatment/ Disposal,,"Ma'anshan, Anhui Province",30,Not Available,Not Available,,Not Available,,,2018,100,Not Applicable,22.24,22.24,Throughput (thousands of tons per year),73,,,,Not Available,,China Everbright International (Not Available / 100% ),China,Variable annuity/availability payment(s) from the government,,No,No,,,,No,No,1.0
East Asia and Pacific,China,Upper middle income,Non-IDA,2018,September,Miluo Waste-to-energy Plant,,Greenfield project,"Build, operate, and transfer",Active,Municipal Solid Waste,Treatment/ Disposal,,"Miluo, Hunan Province",27,Local/Municipal,Not Available,,Not Available,,,2018,70,Not Applicable,54.86,54.86,Throughput (thousands of tons per year),273.75,,,,Not Available,,"China Everbright International (Not Available / 70% ), 

Others (Not Available / 30% )","China, 

..",Purchase agreements or transmission fees with public entity(ies),,No,No,,,,No,No,1.0
East Asia and Pacific,China,Upper middle income,Non-IDA,2018,January,Mulei County Integrated Wastewater Treatment System,,Greenfield project,"Build, operate, and transfer",Active,Water and sewerage,Treatment plant,Sewerage treatment plant,"Mulei County, Xinjiang Uygur Autonomous Region",22,Local/Municipal,Not Available,,Not Available,,16.53,2018,100,Not Available,16.53,16.53,Cubic meters per day (in thousands),10,,,,Competitive negotiation,,Others ($16.53 / 100% ),..,Not Applicable,,No,No,,,,No,No,1.0
East Asia and Pacific,China,Upper middle income,Non-IDA,2018,December,Nangong City Rural Road Network Reconstruction and Upgrading Project II,,Brownfield,"Rehabilitate, operate, and transfer",Active,Transport,Roads,Highway,"Nangong City, Nangong City, Xingtai City, Hebei Province",10,National,Capital subsidy,Not Available,Not Available,,,2018,Not Available,Not Available,47.49,47.49,KM,109.182,,,Lowest government payments,Competitive bidding,Not Available,Others (Not Available / Not Available% ),..,Fixed annuity/availability payment(s) from the government,,No,No,,,,No,No,0.0
East Asia and Pacific,China,Upper middle income,Non-IDA,2018,January,Nanhuan First Class Highway PPP project,,Greenfield project,"Build, operate, and transfer",Active,Transport,Roads,Highway,"Kunming, Yunnan Province",12,Local/Municipal,Revenue subsidy,Not Available,Not Available,,93.74,2018,80,0,93.74,93.74,KM,11.08,,,Not Applicable,Competitive bidding,Not Available,"Yunnan Yunqiao Construction Co., Ltd. ($74.99 / 80% )",China,Fixed annuity/availability payment(s) from the government,,No,No,,,,No,No,0.0
East Asia and Pacific,China,Upper middle income,Non-IDA,2018,January,Niushan Village Road reconstruction project,,Greenfield project,"Build, operate, and transfer",Active,Transport,Roads,Highway,"Shijiazhuang City, Hebei Province",17,Local/Municipal,Revenue subsidy,Not Available,Not Available,,14.16,2018,90,0,63.14,63.14,KM,7.78,,,Not Available,Competitive bidding,Not Available,China State Construction Engineering Corporation ($12.74 / 90% ),China,Fixed annuity/availability payment(s) from the government,,No,No,48.98,78:22,"Other Shijiazhuang Zhongjian Niushi Road Construction Co., Ltd. (Commercial / Local / $48.98)",No,No,0.0
East Asia and Pacific,China,Upper middle income,Non-IDA,2018,August,Panshan Tunnel and connections in Southern New District to Lingang Expressway,,Greenfield project,"Build, operate, and transfer",Active,Transport,Roads,Tunnel,"Sichuan, Ibin City",15,National,Not Available,,Not Available,,,2018,Not Available,Not Applicable,220.99,220.99,KM,6.4,,,Lowest government payments,Competitive bidding,Not Available,Others (Not Available / Not Available% ),..,Fixed annuity/availability payment(s) from the government,,No,No,,,,No,No,0.0
East Asia and Pacific,China,Upper middle income,Non-IDA,2018,November,Pipeline from Zanyao Reservoir to Industrial Park in Zunhua City,,Greenfield project,"Build, operate, and transfer",Active,Water and sewerage,Water Utility,Water utility with sewerage,"Hebei Province, Tangshan City, Zunhua City",21,National,Not Available,,Not Available,,,2018,100,Not Applicable,10.79,10.79,KM,10.06,,,Lowest government payments,Competitive bidding,Not Available,Beijing Jiu'an Investment Construction Group Co. (Not Available / 100% ),China,User fees,,No,No,,,,No,No,1.0
East Asia and Pacific,China,Upper middle income,Non-IDA,2018,July,Portfolio of Highway projects in Hua'an County,,Brownfield,"Build, rehabilitate, operate, and transfer",Active,Transport,Roads,Highway,"Fujian Province, Changzhou, Hua'an County",15,National,Not Available,,Not Available,,,2018,Not Available,Not Applicable,60.86,60.86,KM,29.35,,,Lowest government payments,Competitive bidding,Not Available,Others (Not Available / Not Available% ),..,Fixed annuity/availability payment(s) from the government,,No,No,,,,No,No,0.0
East Asia and Pacific,China,Upper middle income,Non-IDA,2018,January,PPP projects in Daling,,Greenfield project,Other,Active,Transport,Roads,Not Available,"Siping City, Jilin Province",14,Local/Municipal,Revenue subsidy,Not Available,Not Available,,98.3,2018,97,0,98.3,98.3,Not Available,Not Available,,,Not Available,Competitive bidding,Not Available,"Changchun Chengtou Urbanization Construction Investment Co., Ltd. ($93.39 / 95% ), 

Zhongqing Construction Co., Ltd. ($1.97 / 2% )","China, 

China",Fixed annuity/availability payment(s) from the government,,No,No,,,,No,No,0.0
East Asia and Pacific,China,Upper middle income,Non-IDA,2018,July,Project for connection between Yibin and Zhaotong Expressway,,Greenfield project,"Build, operate, and transfer",Active,Transport,Roads,Highway,"Yunnan Province, Zhaotong City",33,National,Capital subsidy,Not Available,Not Available,,,2018,51,Not Applicable,3804.24,3804.24,KM,141.25,,,Lowest government payments,Competitive bidding,Not Available,"China Water Resources and Hydropower Engineering No.14 Engineering Co. (Not Available / 51% ), 

Zhaotong Expressway Investment Development Co., Ltd. (Not Available / 34% ), 

Zhaotong Highway Investment Co., Ltd. (Not Available / 16% )","China, 

China, 

China",Fixed annuity/availability payment(s) from the government,,No,No,,,,No,No,0.0
East Asia and Pacific,China,Upper middle income,Non-IDA,2018,September,Public Port and Transport System project in Xiaohua Operation Area,,Greenfield project,"Build, operate, and transfer",Active,Transport,Ports,Terminal,"Gaochun Port Area, Nanjing Neihe Port",12,National,Capital subsidy,Not Available,Not Available,,,2018,Not Available,Not Applicable,398.91,398.91,Not Available,Not Available,,,Lowest government payments,Competitive bidding,Not Available,Others (Not Available / Not Available% ),..,Fixed annuity/availability payment(s) from the government,,No,No,,,,No,No,0.0
East Asia and Pacific,China,Upper middle income,Non-IDA,2018,July,Qinghai County Rural Road Construction Project,,Greenfield project,"Build, operate, and transfer",Active,Transport,Roads,Highway,"Heilongjiang Province, Suihua City, Qinggang County",10,National,Not Available,,Not Available,,,2018,Not Available,Not Available,51.89,51.89,KM,548.598,,,Lowest government payments,Competitive bidding,Not Available,Others (Not Available / Not Available% ),..,Fixed annuity/availability payment(s) from the government,,No,No,,,,No,No,0.0
East Asia and Pacific,China,Upper middle income,Non-IDA,2018,September,Quanzhou Waste-to-Energy Plant,Fujian Province Taiwan Strait Quanzhou City Anxi County Waste-to-Energy Plant,Brownfield,Not Available,Active,Municipal Solid Waste,Treatment/ Disposal,,"Quanzhou City, Fujian Province",Not Applicable,Not Applicable,Not Applicable,,Not Applicable,,,2018,100,Not Available,109,109.0,Throughput (thousands of tons per year),273.75,,,,Not Available,,Grandblue Environment (Not Available / 100% ),China,Not Applicable,,No,No,,,,No,No,1.0
East Asia and Pacific,China,Upper middle income,Non-IDA,2018,November,Reconstruction and expansion of highways in Zigui County,,Brownfield,"Rehabilitate, operate, and transfer",Active,Transport,Roads,Highway,"Hubei Province, Yichang City, Zigui County",15,National,Not Available,,Not Available,,,2018,Not Available,Not Applicable,63.12,63.12,KM,77.27,,,Lowest government payments,Competitive bidding,Not Available,Others (Not Available / Not Available% ),..,Fixed annuity/availability payment(s) from the government,,No,No,,,,No,No,0.0
East Asia and Pacific,China,Upper middle income,Non-IDA,2018,September,Reconstruction of G207 and G351 Highways,,Greenfield project,"Build, operate, and transfer",Active,Transport,Roads,Highway,,28,National,Capital subsidy,Not Available,Not Available,,,2018,Not Available,Not Available,354.5,354.5,KM,65.1,,,Lowest government payments,Competitive bidding,Not Available,Others (Not Available / Not Available% ),..,Fixed annuity/availability payment(s) from the government,,,,,,,,No,0.0
